time,day_of_week,event type,date
,Sunday,no football game,2021-03-28
,Monday,no football game,2021-03-29
,Tuesday,no football game,2021-03-30
,Wednesday,no football game,2021-03-31
,Thursday,no football game,2021-04-01
,Friday,no football game,2021-04-02
,Saturday,no football game,2021-04-03
,Sunday,no football game,2021-04-04
,Monday,no football game,2021-04-05
,Tuesday,no football game,2021-04-06
,Wednesday,no football game,2021-04-07
,Thursday,no football game,2021-04-08
,Friday,no football game,2021-04-09
,Saturday,no football game,2021-04-10
,Sunday,no football game,2021-04-11
,Monday,no football game,2021-04-12
,Tuesday,no football game,2021-04-13
,Wednesday,no football game,2021-04-14
,Thursday,no football game,2021-04-15
,Friday,no football game,2021-04-16
,Saturday,no football game,2021-04-17
,Sunday,no football game,2021-04-18
,Monday,no football game,2021-04-19
,Tuesday,no football game,2021-04-20
,Wednesday,no football game,2021-04-21
,Thursday,no football game,2021-04-22
,Friday,no football game,2021-04-23
,Saturday,no football game,2021-04-24
,Sunday,no football game,2021-04-25
,Monday,no football game,2021-04-26
,Tuesday,no football game,2021-04-27
,Wednesday,no football game,2021-04-28
,Thursday,no football game,2021-04-29
,Friday,no football game,2021-04-30
12:00:00,Saturday,football game,2021-05-01
,Sunday,no football game,2021-05-02
,Monday,no football game,2021-05-03
,Tuesday,no football game,2021-05-04
,Wednesday,no football game,2021-05-05
,Thursday,no football game,2021-05-06
,Friday,no football game,2021-05-07
,Saturday,no football game,2021-05-08
,Sunday,no football game,2021-05-09
,Monday,no football game,2021-05-10
,Tuesday,no football game,2021-05-11
,Wednesday,no football game,2021-05-12
,Thursday,no football game,2021-05-13
,Friday,no football game,2021-05-14
,Saturday,no football game,2021-05-15
,Sunday,no football game,2021-05-16
,Monday,no football game,2021-05-17
,Tuesday,no football game,2021-05-18
,Wednesday,no football game,2021-05-19
,Thursday,no football game,2021-05-20
,Friday,no football game,2021-05-21
,Saturday,no football game,2021-05-22
,Sunday,no football game,2021-05-23
,Monday,no football game,2021-05-24
,Tuesday,no football game,2021-05-25
,Wednesday,no football game,2021-05-26
,Thursday,no football game,2021-05-27
,Friday,no football game,2021-05-28
,Saturday,no football game,2021-05-29
,Sunday,no football game,2021-05-30
,Monday,no football game,2021-05-31
,Tuesday,no football game,2021-06-01
,Wednesday,no football game,2021-06-02
,Thursday,no football game,2021-06-03
,Friday,no football game,2021-06-04
,Saturday,no football game,2021-06-05
,Sunday,no football game,2021-06-06
,Monday,no football game,2021-06-07
,Tuesday,no football game,2021-06-08
,Wednesday,no football game,2021-06-09
,Thursday,no football game,2021-06-10
,Friday,no football game,2021-06-11
,Saturday,no football game,2021-06-12
,Sunday,no football game,2021-06-13
,Monday,no football game,2021-06-14
,Tuesday,no football game,2021-06-15
,Wednesday,no football game,2021-06-16
,Thursday,no football game,2021-06-17
,Friday,no football game,2021-06-18
,Saturday,no football game,2021-06-19
,Sunday,no football game,2021-06-20
,Monday,no football game,2021-06-21
,Tuesday,no football game,2021-06-22
,Wednesday,no football game,2021-06-23
,Thursday,no football game,2021-06-24
,Friday,no football game,2021-06-25
,Saturday,no football game,2021-06-26
,Sunday,no football game,2021-06-27
,Monday,no football game,2021-06-28
,Tuesday,no football game,2021-06-29
,Wednesday,no football game,2021-06-30
,Thursday,no football game,2021-07-01
,Friday,no football game,2021-07-02
,Saturday,no football game,2021-07-03
,Sunday,no football game,2021-07-04
,Monday,no football game,2021-07-05
,Tuesday,no football game,2021-07-06
,Wednesday,no football game,2021-07-07
,Thursday,no football game,2021-07-08
,Friday,no football game,2021-07-09
,Saturday,no football game,2021-07-10
,Sunday,no football game,2021-07-11
,Monday,no football game,2021-07-12
,Tuesday,no football game,2021-07-13
,Wednesday,no football game,2021-07-14
,Thursday,no football game,2021-07-15
,Friday,no football game,2021-07-16
,Saturday,no football game,2021-07-17
,Sunday,no football game,2021-07-18
,Monday,no football game,2021-07-19
,Tuesday,no football game,2021-07-20
,Wednesday,no football game,2021-07-21
,Thursday,no football game,2021-07-22
,Friday,no football game,2021-07-23
,Saturday,no football game,2021-07-24
,Sunday,no football game,2021-07-25
,Monday,no football game,2021-07-26
,Tuesday,no football game,2021-07-27
,Wednesday,no football game,2021-07-28
,Thursday,no football game,2021-07-29
,Friday,no football game,2021-07-30
,Saturday,no football game,2021-07-31
,Sunday,no football game,2021-08-01
,Monday,no football game,2021-08-02
,Tuesday,no football game,2021-08-03
,Wednesday,no football game,2021-08-04
,Thursday,no football game,2021-08-05
,Friday,no football game,2021-08-06
,Saturday,no football game,2021-08-07
,Sunday,no football game,2021-08-08
,Monday,no football game,2021-08-09
,Tuesday,no football game,2021-08-10
,Wednesday,no football game,2021-08-11
,Thursday,no football game,2021-08-12
,Friday,no football game,2021-08-13
,Saturday,no football game,2021-08-14
,Sunday,no football game,2021-08-15
,Monday,no football game,2021-08-16
,Tuesday,no football game,2021-08-17
,Wednesday,no football game,2021-08-18
,Thursday,no football game,2021-08-19
,Friday,no football game,2021-08-20
,Saturday,no football game,2021-08-21
,Sunday,no football game,2021-08-22
,Monday,no football game,2021-08-23
,Tuesday,no football game,2021-08-24
,Wednesday,no football game,2021-08-25
,Thursday,no football game,2021-08-26
,Friday,no football game,2021-08-27
,Saturday,no football game,2021-08-28
,Sunday,no football game,2021-08-29
,Monday,no football game,2021-08-30
,Tuesday,no football game,2021-08-31
,Wednesday,no football game,2021-09-01
,Thursday,no football game,2021-09-02
,Friday,no football game,2021-09-03
17:00:00,Saturday,football game,2021-09-04
,Sunday,no football game,2021-09-05
,Monday,no football game,2021-09-06
,Tuesday,no football game,2021-09-07
,Wednesday,no football game,2021-09-08
,Thursday,no football game,2021-09-09
,Friday,no football game,2021-09-10
,Saturday,no football game,2021-09-11
,Sunday,no football game,2021-09-12
,Monday,no football game,2021-09-13
,Tuesday,no football game,2021-09-14
,Wednesday,no football game,2021-09-15
,Thursday,no football game,2021-09-16
,Friday,no football game,2021-09-17
13:15:00,Saturday,football game,2021-09-18
,Sunday,no football game,2021-09-19
,Monday,no football game,2021-09-20
,Tuesday,no football game,2021-09-21
,Wednesday,no football game,2021-09-22
,Thursday,no football game,2021-09-23
,Friday,no football game,2021-09-24
18:30:00,Saturday,football game,2021-09-25
,Sunday,no football game,2021-09-26
,Monday,no football game,2021-09-27
,Tuesday,no football game,2021-09-28
,Wednesday,no football game,2021-09-29
,Thursday,no football game,2021-09-30
,Friday,no football game,2021-10-01
,Saturday,no football game,2021-10-02
,Sunday,no football game,2021-10-03
,Monday,no football game,2021-10-04
,Tuesday,no football game,2021-10-05
,Wednesday,no football game,2021-10-06
,Thursday,no football game,2021-10-07
,Friday,no football game,2021-10-08
,Saturday,no football game,2021-10-09
,Sunday,no football game,2021-10-10
,Monday,no football game,2021-10-11
,Tuesday,no football game,2021-10-12
,Wednesday,no football game,2021-10-13
,Thursday,no football game,2021-10-14
,Friday,no football game,2021-10-15
17:30:00,Saturday,football game,2021-10-16
,Sunday,no football game,2021-10-17
,Monday,no football game,2021-10-18
,Tuesday,no football game,2021-10-19
,Wednesday,no football game,2021-10-20
,Thursday,no football game,2021-10-21
,Friday,no football game,2021-10-22
,Saturday,no football game,2021-10-23
,Sunday,no football game,2021-10-24
,Monday,no football game,2021-10-25
,Tuesday,no football game,2021-10-26
,Wednesday,no football game,2021-10-27
,Thursday,no football game,2021-10-28
,Friday,no football game,2021-10-29
,Saturday,no football game,2021-10-30
,Sunday,no football game,2021-10-31
,Monday,no football game,2021-11-01
,Tuesday,no football game,2021-11-02
,Wednesday,no football game,2021-11-03
,Thursday,no football game,2021-11-04
,Friday,no football game,2021-11-05
16:30:00,Saturday,football game,2021-11-06
,Sunday,no football game,2021-11-07
,Monday,no football game,2021-11-08
,Tuesday,no football game,2021-11-09
,Wednesday,no football game,2021-11-10
,Thursday,no football game,2021-11-11
,Friday,no football game,2021-11-12
16:00:00,Saturday,football game,2021-11-13
,Sunday,no football game,2021-11-14
,Monday,no football game,2021-11-15
,Tuesday,no football game,2021-11-16
,Wednesday,no football game,2021-11-17
,Thursday,no football game,2021-11-18
,Friday,no football game,2021-11-19
,Saturday,no football game,2021-11-20
,Sunday,no football game,2021-11-21
,Monday,no football game,2021-11-22
,Tuesday,no football game,2021-11-23
,Wednesday,no football game,2021-11-24
,Thursday,no football game,2021-11-25
17:00:00,Friday,football game,2021-11-26
,Saturday,no football game,2021-11-27
,Sunday,no football game,2021-11-28
,Monday,no football game,2021-11-29
,Tuesday,no football game,2021-11-30
,Wednesday,no football game,2021-12-01
,Thursday,no football game,2021-12-02
,Friday,no football game,2021-12-03
,Saturday,no football game,2021-12-04
,Sunday,no football game,2021-12-05
,Monday,no football game,2021-12-06
,Tuesday,no football game,2021-12-07
,Wednesday,no football game,2021-12-08
,Thursday,no football game,2021-12-09
,Friday,no football game,2021-12-10
,Saturday,no football game,2021-12-11
,Sunday,no football game,2021-12-12
,Monday,no football game,2021-12-13
,Tuesday,no football game,2021-12-14
,Wednesday,no football game,2021-12-15
,Thursday,no football game,2021-12-16
,Friday,no football game,2021-12-17
,Saturday,no football game,2021-12-18
,Sunday,no football game,2021-12-19
,Monday,no football game,2021-12-20
,Tuesday,no football game,2021-12-21
,Wednesday,no football game,2021-12-22
,Thursday,no football game,2021-12-23
,Friday,no football game,2021-12-24
,Saturday,no football game,2021-12-25
,Sunday,no football game,2021-12-26
,Monday,no football game,2021-12-27
,Tuesday,no football game,2021-12-28
,Wednesday,no football game,2021-12-29
,Thursday,no football game,2021-12-30
,Friday,no football game,2021-12-31
,Saturday,no football game,2022-01-01
,Sunday,no football game,2022-01-02
,Monday,no football game,2022-01-03
,Tuesday,no football game,2022-01-04
,Wednesday,no football game,2022-01-05
,Thursday,no football game,2022-01-06
,Friday,no football game,2022-01-07
,Saturday,no football game,2022-01-08
,Sunday,no football game,2022-01-09
,Monday,no football game,2022-01-10
,Tuesday,no football game,2022-01-11
,Wednesday,no football game,2022-01-12
,Thursday,no football game,2022-01-13
,Friday,no football game,2022-01-14
,Saturday,no football game,2022-01-15
,Sunday,no football game,2022-01-16
,Monday,no football game,2022-01-17
,Tuesday,no football game,2022-01-18
,Wednesday,no football game,2022-01-19
,Thursday,no football game,2022-01-20
,Friday,no football game,2022-01-21
,Saturday,no football game,2022-01-22
,Sunday,no football game,2022-01-23
,Monday,no football game,2022-01-24
,Tuesday,no football game,2022-01-25
,Wednesday,no football game,2022-01-26
,Thursday,no football game,2022-01-27
,Friday,no football game,2022-01-28
,Saturday,no football game,2022-01-29
,Sunday,no football game,2022-01-30
,Monday,no football game,2022-01-31
,Tuesday,no football game,2022-02-01
,Wednesday,no football game,2022-02-02
,Thursday,no football game,2022-02-03
,Friday,no football game,2022-02-04
,Saturday,no football game,2022-02-05
,Sunday,no football game,2022-02-06
,Monday,no football game,2022-02-07
,Tuesday,no football game,2022-02-08
,Wednesday,no football game,2022-02-09
,Thursday,no football game,2022-02-10
,Friday,no football game,2022-02-11
,Saturday,no football game,2022-02-12
,Sunday,no football game,2022-02-13
,Monday,no football game,2022-02-14
,Tuesday,no football game,2022-02-15
,Wednesday,no football game,2022-02-16
,Thursday,no football game,2022-02-17
,Friday,no football game,2022-02-18
,Saturday,no football game,2022-02-19
,Sunday,no football game,2022-02-20
,Monday,no football game,2022-02-21
,Tuesday,no football game,2022-02-22
,Wednesday,no football game,2022-02-23
,Thursday,no football game,2022-02-24
,Friday,no football game,2022-02-25
,Saturday,no football game,2022-02-26
,Sunday,no football game,2022-02-27
,Monday,no football game,2022-02-28
,Tuesday,no football game,2022-03-01
,Wednesday,no football game,2022-03-02
,Thursday,no football game,2022-03-03
,Friday,no football game,2022-03-04
,Saturday,no football game,2022-03-05
,Sunday,no football game,2022-03-06
,Monday,no football game,2022-03-07
,Tuesday,no football game,2022-03-08
,Wednesday,no football game,2022-03-09
,Thursday,no football game,2022-03-10
,Friday,no football game,2022-03-11
,Saturday,no football game,2022-03-12
,Sunday,no football game,2022-03-13
,Monday,no football game,2022-03-14
,Tuesday,no football game,2022-03-15
,Wednesday,no football game,2022-03-16
,Thursday,no football game,2022-03-17
,Friday,no football game,2022-03-18
,Saturday,no football game,2022-03-19
,Sunday,no football game,2022-03-20
,Monday,no football game,2022-03-21
,Tuesday,no football game,2022-03-22
,Wednesday,no football game,2022-03-23
,Thursday,no football game,2022-03-24
,Friday,no football game,2022-03-25
,Saturday,no football game,2022-03-26
,Sunday,no football game,2022-03-27
,Monday,no football game,2022-03-28
,Tuesday,no football game,2022-03-29
,Wednesday,no football game,2022-03-30
,Thursday,no football game,2022-03-31
,Friday,no football game,2022-04-01
,Saturday,no football game,2022-04-02
,Sunday,no football game,2022-04-03
,Monday,no football game,2022-04-04
,Tuesday,no football game,2022-04-05
,Wednesday,no football game,2022-04-06
,Thursday,no football game,2022-04-07
,Friday,no football game,2022-04-08
,Saturday,no football game,2022-04-09
,Sunday,no football game,2022-04-10
,Monday,no football game,2022-04-11
,Tuesday,no football game,2022-04-12
,Wednesday,no football game,2022-04-13
,Thursday,no football game,2022-04-14
,Friday,no football game,2022-04-15
,Saturday,no football game,2022-04-16
,Sunday,no football game,2022-04-17
,Monday,no football game,2022-04-18
,Tuesday,no football game,2022-04-19
,Wednesday,no football game,2022-04-20
,Thursday,no football game,2022-04-21
,Friday,no football game,2022-04-22
,Saturday,no football game,2022-04-23
,Sunday,no football game,2022-04-24
,Monday,no football game,2022-04-25
,Tuesday,no football game,2022-04-26
,Wednesday,no football game,2022-04-27
,Thursday,no football game,2022-04-28
,Friday,no football game,2022-04-29
,Saturday,no football game,2022-04-30
,Sunday,no football game,2022-05-01
,Monday,no football game,2022-05-02
,Tuesday,no football game,2022-05-03
,Wednesday,no football game,2022-05-04
,Thursday,no football game,2022-05-05
,Friday,no football game,2022-05-06
,Saturday,no football game,2022-05-07
,Sunday,no football game,2022-05-08
,Monday,no football game,2022-05-09
,Tuesday,no football game,2022-05-10
,Wednesday,no football game,2022-05-11
,Thursday,no football game,2022-05-12
,Friday,no football game,2022-05-13
,Saturday,no football game,2022-05-14
,Sunday,no football game,2022-05-15
,Monday,no football game,2022-05-16
,Tuesday,no football game,2022-05-17
,Wednesday,no football game,2022-05-18
,Thursday,no football game,2022-05-19
,Friday,no football game,2022-05-20
,Saturday,no football game,2022-05-21
,Sunday,no football game,2022-05-22
,Monday,no football game,2022-05-23
,Tuesday,no football game,2022-05-24
,Wednesday,no football game,2022-05-25
,Thursday,no football game,2022-05-26
,Friday,no football game,2022-05-27
,Saturday,no football game,2022-05-28
,Sunday,no football game,2022-05-29
,Monday,no football game,2022-05-30
,Tuesday,no football game,2022-05-31
,Wednesday,no football game,2022-06-01
,Thursday,no football game,2022-06-02
,Friday,no football game,2022-06-03
,Saturday,no football game,2022-06-04
,Sunday,no football game,2022-06-05
,Monday,no football game,2022-06-06
,Tuesday,no football game,2022-06-07
,Wednesday,no football game,2022-06-08
,Thursday,no football game,2022-06-09
,Friday,no football game,2022-06-10
,Saturday,no football game,2022-06-11
,Sunday,no football game,2022-06-12
,Monday,no football game,2022-06-13
,Tuesday,no football game,2022-06-14
,Wednesday,no football game,2022-06-15
,Thursday,no football game,2022-06-16
,Friday,no football game,2022-06-17
,Saturday,no football game,2022-06-18
,Sunday,no football game,2022-06-19
,Monday,no football game,2022-06-20
,Tuesday,no football game,2022-06-21
,Wednesday,no football game,2022-06-22
,Thursday,no football game,2022-06-23
,Friday,no football game,2022-06-24
,Saturday,no football game,2022-06-25
,Sunday,no football game,2022-06-26
,Monday,no football game,2022-06-27
,Tuesday,no football game,2022-06-28
,Wednesday,no football game,2022-06-29
,Thursday,no football game,2022-06-30
,Friday,no football game,2022-07-01
,Saturday,no football game,2022-07-02
,Sunday,no football game,2022-07-03
,Monday,no football game,2022-07-04
,Tuesday,no football game,2022-07-05
,Wednesday,no football game,2022-07-06
,Thursday,no football game,2022-07-07
,Friday,no football game,2022-07-08
,Saturday,no football game,2022-07-09
,Sunday,no football game,2022-07-10
,Monday,no football game,2022-07-11
,Tuesday,no football game,2022-07-12
,Wednesday,no football game,2022-07-13
,Thursday,no football game,2022-07-14
,Friday,no football game,2022-07-15
,Saturday,no football game,2022-07-16
,Sunday,no football game,2022-07-17
,Monday,no football game,2022-07-18
,Tuesday,no football game,2022-07-19
,Wednesday,no football game,2022-07-20
,Thursday,no football game,2022-07-21
,Friday,no football game,2022-07-22
,Saturday,no football game,2022-07-23
,Sunday,no football game,2022-07-24
,Monday,no football game,2022-07-25
,Tuesday,no football game,2022-07-26
,Wednesday,no football game,2022-07-27
,Thursday,no football game,2022-07-28
,Friday,no football game,2022-07-29
,Saturday,no football game,2022-07-30
,Sunday,no football game,2022-07-31
,Monday,no football game,2022-08-01
,Tuesday,no football game,2022-08-02
,Wednesday,no football game,2022-08-03
,Thursday,no football game,2022-08-04
,Friday,no football game,2022-08-05
,Saturday,no football game,2022-08-06
,Sunday,no football game,2022-08-07
,Monday,no football game,2022-08-08
,Tuesday,no football game,2022-08-09
,Wednesday,no football game,2022-08-10
,Thursday,no football game,2022-08-11
,Friday,no football game,2022-08-12
,Saturday,no football game,2022-08-13
,Sunday,no football game,2022-08-14
,Monday,no football game,2022-08-15
,Tuesday,no football game,2022-08-16
,Wednesday,no football game,2022-08-17
,Thursday,no football game,2022-08-18
,Friday,no football game,2022-08-19
,Saturday,no football game,2022-08-20
,Sunday,no football game,2022-08-21
,Monday,no football game,2022-08-22
,Tuesday,no football game,2022-08-23
,Wednesday,no football game,2022-08-24
,Thursday,no football game,2022-08-25
,Friday,no football game,2022-08-26
,Saturday,no football game,2022-08-27
,Sunday,no football game,2022-08-28
,Monday,no football game,2022-08-29
,Tuesday,no football game,2022-08-30
,Wednesday,no football game,2022-08-31
,Thursday,no football game,2022-09-01
,Friday,no football game,2022-09-02
19:30:00,Saturday,football game,2022-09-03
,Sunday,no football game,2022-09-04
,Monday,no football game,2022-09-05
,Tuesday,no football game,2022-09-06
,Wednesday,no football game,2022-09-07
,Thursday,no football game,2022-09-08
,Friday,no football game,2022-09-09
13:00:00,Saturday,football game,2022-09-10
,Sunday,no football game,2022-09-11
,Monday,no football game,2022-09-12
,Tuesday,no football game,2022-09-13
,Wednesday,no football game,2022-09-14
,Thursday,no football game,2022-09-15
,Friday,no football game,2022-09-16
16:30:00,Saturday,football game,2022-09-17
,Sunday,no football game,2022-09-18
,Monday,no football game,2022-09-19
,Tuesday,no football game,2022-09-20
,Wednesday,no football game,2022-09-21
,Thursday,no football game,2022-09-22
,Friday,no football game,2022-09-23
19:30:00,Saturday,football game,2022-09-24
,Sunday,no football game,2022-09-25
,Monday,no football game,2022-09-26
,Tuesday,no football game,2022-09-27
,Wednesday,no football game,2022-09-28
,Thursday,no football game,2022-09-29
,Friday,no football game,2022-09-30
,Saturday,no football game,2022-10-01
,Sunday,no football game,2022-10-02
,Monday,no football game,2022-10-03
,Tuesday,no football game,2022-10-04
,Wednesday,no football game,2022-10-05
,Thursday,no football game,2022-10-06
,Friday,no football game,2022-10-07
,Saturday,no football game,2022-10-08
,Sunday,no football game,2022-10-09
,Monday,no football game,2022-10-10
,Tuesday,no football game,2022-10-11
,Wednesday,no football game,2022-10-12
,Thursday,no football game,2022-10-13
,Friday,no football game,2022-10-14
14:30:00,Saturday,football game,2022-10-15
,Sunday,no football game,2022-10-16
,Monday,no football game,2022-10-17
,Tuesday,no football game,2022-10-18
,Wednesday,no football game,2022-10-19
,Thursday,no football game,2022-10-20
,Friday,no football game,2022-10-21
,Saturday,no football game,2022-10-22
,Sunday,no football game,2022-10-23
,Monday,no football game,2022-10-24
,Tuesday,no football game,2022-10-25
,Wednesday,no football game,2022-10-26
,Thursday,no football game,2022-10-27
,Friday,no football game,2022-10-28
,Saturday,no football game,2022-10-29
,Sunday,no football game,2022-10-30
,Monday,no football game,2022-10-31
,Tuesday,no football game,2022-11-01
,Wednesday,no football game,2022-11-02
,Thursday,no football game,2022-11-03
19:30:00,Friday,football game,2022-11-04
,Saturday,no football game,2022-11-05
,Sunday,no football game,2022-11-06
,Monday,no football game,2022-11-07
,Tuesday,no football game,2022-11-08
,Wednesday,no football game,2022-11-09
,Thursday,no football game,2022-11-10
,Friday,no football game,2022-11-11
,Saturday,no football game,2022-11-12
,Sunday,no football game,2022-11-13
,Monday,no football game,2022-11-14
,Tuesday,no football game,2022-11-15
,Wednesday,no football game,2022-11-16
,Thursday,no football game,2022-11-17
,Friday,no football game,2022-11-18
18:00:00,Saturday,football game,2022-11-19
,Sunday,no football game,2022-11-20
,Monday,no football game,2022-11-21
,Tuesday,no football game,2022-11-22
,Wednesday,no football game,2022-11-23
,Thursday,no football game,2022-11-24
,Friday,no football game,2022-11-25
,Saturday,no football game,2022-11-26
,Sunday,no football game,2022-11-27
,Monday,no football game,2022-11-28
,Tuesday,no football game,2022-11-29
,Wednesday,no football game,2022-11-30
,Thursday,no football game,2022-12-01
,Friday,no football game,2022-12-02
,Saturday,no football game,2022-12-03
,Sunday,no football game,2022-12-04
,Monday,no football game,2022-12-05
,Tuesday,no football game,2022-12-06
,Wednesday,no football game,2022-12-07
,Thursday,no football game,2022-12-08
,Friday,no football game,2022-12-09
,Saturday,no football game,2022-12-10
,Sunday,no football game,2022-12-11
,Monday,no football game,2022-12-12
,Tuesday,no football game,2022-12-13
,Wednesday,no football game,2022-12-14
,Thursday,no football game,2022-12-15
,Friday,no football game,2022-12-16
,Saturday,no football game,2022-12-17
,Sunday,no football game,2022-12-18
,Monday,no football game,2022-12-19
,Tuesday,no football game,2022-12-20
,Wednesday,no football game,2022-12-21
,Thursday,no football game,2022-12-22
,Friday,no football game,2022-12-23
,Saturday,no football game,2022-12-24
,Sunday,no football game,2022-12-25
,Monday,no football game,2022-12-26
,Tuesday,no football game,2022-12-27
,Wednesday,no football game,2022-12-28
,Thursday,no football game,2022-12-29
,Friday,no football game,2022-12-30
,Saturday,no football game,2022-12-31
,Sunday,no football game,2023-01-01
,Monday,no football game,2023-01-02
,Tuesday,no football game,2023-01-03
,Wednesday,no football game,2023-01-04
,Thursday,no football game,2023-01-05
,Friday,no football game,2023-01-06
,Saturday,no football game,2023-01-07
,Sunday,no football game,2023-01-08
,Monday,no football game,2023-01-09
,Tuesday,no football game,2023-01-10
,Wednesday,no football game,2023-01-11
,Thursday,no football game,2023-01-12
,Friday,no football game,2023-01-13
,Saturday,no football game,2023-01-14
,Sunday,no football game,2023-01-15
,Monday,no football game,2023-01-16
,Tuesday,no football game,2023-01-17
,Wednesday,no football game,2023-01-18
,Thursday,no football game,2023-01-19
,Friday,no football game,2023-01-20
,Saturday,no football game,2023-01-21
,Sunday,no football game,2023-01-22
,Monday,no football game,2023-01-23
,Tuesday,no football game,2023-01-24
,Wednesday,no football game,2023-01-25
,Thursday,no football game,2023-01-26
,Friday,no football game,2023-01-27
,Saturday,no football game,2023-01-28
,Sunday,no football game,2023-01-29
,Monday,no football game,2023-01-30
,Tuesday,no football game,2023-01-31
,Wednesday,no football game,2023-02-01
,Thursday,no football game,2023-02-02
,Friday,no football game,2023-02-03
,Saturday,no football game,2023-02-04
,Sunday,no football game,2023-02-05
,Monday,no football game,2023-02-06
,Tuesday,no football game,2023-02-07
,Wednesday,no football game,2023-02-08
,Thursday,no football game,2023-02-09
,Friday,no football game,2023-02-10
,Saturday,no football game,2023-02-11
,Sunday,no football game,2023-02-12
,Monday,no football game,2023-02-13
,Tuesday,no football game,2023-02-14
,Wednesday,no football game,2023-02-15
,Thursday,no football game,2023-02-16
,Friday,no football game,2023-02-17
,Saturday,no football game,2023-02-18
,Sunday,no football game,2023-02-19
,Monday,no football game,2023-02-20
,Tuesday,no football game,2023-02-21
,Wednesday,no football game,2023-02-22
,Thursday,no football game,2023-02-23
,Friday,no football game,2023-02-24
,Saturday,no football game,2023-02-25
,Sunday,no football game,2023-02-26
,Monday,no football game,2023-02-27
,Tuesday,no football game,2023-02-28
,Wednesday,no football game,2023-03-01
,Thursday,no football game,2023-03-02
,Friday,no football game,2023-03-03
,Saturday,no football game,2023-03-04
,Sunday,no football game,2023-03-05
,Monday,no football game,2023-03-06
,Tuesday,no football game,2023-03-07
,Wednesday,no football game,2023-03-08
,Thursday,no football game,2023-03-09
,Friday,no football game,2023-03-10
,Saturday,no football game,2023-03-11
,Sunday,no football game,2023-03-12
,Monday,no football game,2023-03-13
,Tuesday,no football game,2023-03-14
,Wednesday,no football game,2023-03-15
,Thursday,no football game,2023-03-16
,Friday,no football game,2023-03-17
,Saturday,no football game,2023-03-18
,Sunday,no football game,2023-03-19
,Monday,no football game,2023-03-20
,Tuesday,no football game,2023-03-21
,Wednesday,no football game,2023-03-22
,Thursday,no football game,2023-03-23
,Friday,no football game,2023-03-24
,Saturday,no football game,2023-03-25
,Sunday,no football game,2023-03-26
,Monday,no football game,2023-03-27
,Tuesday,no football game,2023-03-28
,Wednesday,no football game,2023-03-29
,Thursday,no football game,2023-03-30
,Friday,no football game,2023-03-31
,Saturday,no football game,2023-04-01
,Sunday,no football game,2023-04-02
,Monday,no football game,2023-04-03
,Tuesday,no football game,2023-04-04
,Wednesday,no football game,2023-04-05
,Thursday,no football game,2023-04-06
,Friday,no football game,2023-04-07
,Saturday,no football game,2023-04-08
,Sunday,no football game,2023-04-09
,Monday,no football game,2023-04-10
,Tuesday,no football game,2023-04-11
,Wednesday,no football game,2023-04-12
,Thursday,no football game,2023-04-13
,Friday,no football game,2023-04-14
,Saturday,no football game,2023-04-15
,Sunday,no football game,2023-04-16
,Monday,no football game,2023-04-17
,Tuesday,no football game,2023-04-18
,Wednesday,no football game,2023-04-19
,Thursday,no football game,2023-04-20
,Friday,no football game,2023-04-21
13:00:00,Saturday,football game,2023-04-22
,Sunday,no football game,2023-04-23
,Monday,no football game,2023-04-24
,Tuesday,no football game,2023-04-25
,Wednesday,no football game,2023-04-26
,Thursday,no football game,2023-04-27
,Friday,no football game,2023-04-28
,Saturday,no football game,2023-04-29
,Sunday,no football game,2023-04-30
,Monday,no football game,2023-05-01
,Tuesday,no football game,2023-05-02
,Wednesday,no football game,2023-05-03
,Thursday,no football game,2023-05-04
,Friday,no football game,2023-05-05
,Saturday,no football game,2023-05-06
,Sunday,no football game,2023-05-07
,Monday,no football game,2023-05-08
,Tuesday,no football game,2023-05-09
,Wednesday,no football game,2023-05-10
,Thursday,no football game,2023-05-11
,Friday,no football game,2023-05-12
,Saturday,no football game,2023-05-13
,Sunday,no football game,2023-05-14
,Monday,no football game,2023-05-15
,Tuesday,no football game,2023-05-16
,Wednesday,no football game,2023-05-17
,Thursday,no football game,2023-05-18
,Friday,no football game,2023-05-19
,Saturday,no football game,2023-05-20
,Sunday,no football game,2023-05-21
,Monday,no football game,2023-05-22
,Tuesday,no football game,2023-05-23
,Wednesday,no football game,2023-05-24
,Thursday,no football game,2023-05-25
,Friday,no football game,2023-05-26
,Saturday,no football game,2023-05-27
,Sunday,no football game,2023-05-28
,Monday,no football game,2023-05-29
,Tuesday,no football game,2023-05-30
,Wednesday,no football game,2023-05-31
,Thursday,no football game,2023-06-01
,Friday,no football game,2023-06-02
,Saturday,no football game,2023-06-03
,Sunday,no football game,2023-06-04
,Monday,no football game,2023-06-05
,Tuesday,no football game,2023-06-06
,Wednesday,no football game,2023-06-07
,Thursday,no football game,2023-06-08
,Friday,no football game,2023-06-09
,Saturday,no football game,2023-06-10
,Sunday,no football game,2023-06-11
,Monday,no football game,2023-06-12
,Tuesday,no football game,2023-06-13
,Wednesday,no football game,2023-06-14
,Thursday,no football game,2023-06-15
,Friday,no football game,2023-06-16
,Saturday,no football game,2023-06-17
,Sunday,no football game,2023-06-18
,Monday,no football game,2023-06-19
,Tuesday,no football game,2023-06-20
,Wednesday,no football game,2023-06-21
,Thursday,no football game,2023-06-22
,Friday,no football game,2023-06-23
,Saturday,no football game,2023-06-24
