Route Name,Weekday freq(min),Weekend freq(min),Overall freq(min)
31,26.0,30.0,27.142857142857142
32,26.0,30.0,27.142857142857142
43,52.4,61.0,54.85714285714285
44,14.8,30.0,19.142857142857142
45,16.8,30.0,20.571428571428573
48,25.0,18.6,23.17142857142857
65,18.0,30.0,21.428571428571427
67,18.0,30.0,21.428571428571427
73,48.0,60.0,51.42857142857143
75,16.8,30.0,20.571428571428573
255,19.8,28.0,22.142857142857142
271,20.4,36.0,24.857142857142858
